"Año","Mes ","Total Pasajeros","Heredia - San José","Pavas - San Pedro","San José - Belén","Cartago - San José","Alajuela - Heredia"
"2020","Diciembre ","1876","876","126","297","538","39"
"2020","Noviembre ","1750","932","124","119","519","56"
"2020","Octubre   ","1989","889","388","53","532","127"
"2020","Setiembre ","1504","608","227","49","499","121"
"2020","Agosto    ","1096","457","44","65","325","205"
"2020","Julio     ","780","176","132","45","365","62"
"2020","Junio     ","1767","635","199","47","779","107"
"2020","Mayo      ","1410","523","221","138","528",""
"2020","Abril     ","713","142","49","56","313","153"
"2020","Marzo     ","4703","1604","327","267","2377","128"
"2020","Febrero   ","8036","2832","364","548","3324","968"
"2020","Enero     ","4412","","","650","3382","380"
"2019","Diciembre ","6908","2583","273","382","3133","537"
"2019","Noviembre ","8033","2672","231","591","3944","595"
"2019","Octubre   ","9242","3206","207","701","4130","998"
"2019","Setiembre ","7729","2303","233","728","3886","579"
"2019","Agosto    ","8639","3306","318","383","4075","557"
"2019","Julio     ","9190","3201","335","438","4397","819"
"2019","Junio     ","7996","2769","357","495","3755","620"
"2019","Mayo      ","8190","2528","408","488","3853","913"
"2019","Abril     ","6332","2241","373","845","2475","398"
"2019","Marzo     ","9627","4148","379","1253","3264","583"
"2019","Febrero   ","9542","3313","295","1385","4045","504"
"2019","Enero     ","7191","3312","310","930","2382","257"
"2018","Diciembre ","6789","2517","696","316","3009","251"
"2018","Noviembre ","8778","2600","957","539","3848","834"
"2018","Octubre   ","8545","2356","1035","264","3633","1257"
"2018","Setiembre ","8495","2338","1434","274","3879","570"
"2018","Agosto    ","10109","3362","1261","149","4885","452"
"2018","Julio     ","8290","3412","711","967","2824","376"
"2018","Junio     ","8516","3902","214","1946","2432","22"
"2018","Mayo      ","8237","3358","200","2208","2400","71"
"2018","Abril     ","8103","2777","545","2259","2180","342"
"2018","Marzo     ","6979","2185","244","1928","2228","394"
"2018","Febrero   ","7125","2054","124","1422","2901","624"
"2018","Enero     ","5725","1900","195","1711","1537","382"
"2017","Diciembre ","5560","1983","264","1494","1462","357"
"2017","Noviembre ","6569","2570","148","1739","1797","315"
"2017","Octubre   ","5436","2039","411","1075","1548","363"
"2017","Setiembre ","6067","2222","359","1526","1552","408"
"2017","Agosto    ","7090","3313","357","1297","1872","251"
"2017","Julio     ","6954","2651","167","1649","1888","599"
"2017","Junio     ","6647","2144","139","1313","1947","1104"
"2017","Mayo      ","9451","3115","535","1635","1592","2574"
"2017","Abril     ","6053","1922","339","890","1099","1803"
"2017","Marzo     ","12207","4382","885","1591","2016","3333"
"2017","Febrero   ","12263","3429","907","1556","1421","4950"
"2017","Enero     ","10158","3249","535","2121","1811","2442"
"2016","Diciembre ","8622","3278","397","1638","1625","1684"
"2016","Noviembre ","8144","3506","304","2166","1995","173"
"2016","Octubre   ","6857","3339","228","1704","1586",""
"2016","Setiembre ","8434","4080","374","2112","1868",""
"2016","Agosto    ","7390","3271","354","1503","2262",""
"2016","Julio     ","7534","2978","409","2020","2127",""
"2016","Junio     ","6964","2618","199","2123","2024",""
"2016","Mayo      ","7423","3172","223","1932","2096",""
"2016","Abril     ","5618","2142","324","1593","1559",""
"2016","Marzo     ","6087","2804","339","1424","1520",""
"2016","Febrero   ","8120","3383","432","2190","2115",""
"2016","Enero     ","6612","2392","232","1960","2028",""
"2015","Diciembre ","5266","1760","245","1744","1517",""
"2015","Noviembre ","5495","998","679","1879","1939",""
"2015","Octubre   ","7015","2597","268","2077","2073",""
"2015","Setiembre ","8710","3143","656","2435","2476",""
"2015","Agosto    ","8446","3259","500","2119","2568",""
"2015","Julio     ","9592","3878","568","2671","2475",""
"2015","Junio     ","8579","3587","551","2074","2367",""
"2015","Mayo      ","6810","2171","439","2242","1958",""
"2015","Abril     ","6329","2042","281","1622","2384",""
"2015","Marzo     ","7256","2777","293","1698","2488",""
"2015","Febrero   ","8141","2899","508","2070","2664",""
"2015","Enero     ","5570","1612","143","1202","2613",""
"2014","Diciembre ","6779","2355","194","1792","2438",""
"2014","Noviembre ","8797","2909","470","2040","3378",""
"2014","Octubre   ","3683","1395","102","664","1522",""
"2014","Setiembre ","3119","788","33","476","1822",""
"2014","Agosto    ","3533","806","57","742","1928",""
"2014","Julio     ","3756","1305","","515","1936",""
"2014","Junio     ","3141","932","94","542","1573",""
"2014","Mayo      ","3703","1506","144","325","1728",""
"2014","Abril     ","3034","977","73","454","1530",""
"2014","Marzo     ","4002","1368","156","569","1909",""
"2014","Febrero   ","4143","1323","198","398","2224",""
"2014","Enero     ","3716","956","83","570","2107",""
"2013","Diciembre ","3263","990","83","333","1857",""
"2013","Noviembre ","4246","950","4","523","2769",""
"2013","Octubre   ","4594","1458","81","809","2246",""
"2013","Setiembre ","3768","1012","74","706","1976",""
"2013","Agosto    ","4645","1506","87","611","2441",""
"2013","Julio     ","4874","1717","99","817","2241",""
"2013","Junio     ","2409","594","144","207","1464",""
"2013","Mayo      ","2491","978","192","509","812",""
"2013","Abril     ","2274","1233","170","871","",""
"2013","Marzo     ","1296","629","94","573","",""
"2013","Febrero   ","1530","966","30","534","",""
"2013","Enero     ","1510","982","212","316","",""
"2012","Diciembre ","1481","1023","64","394","",""
"2012","Noviembre ","1356","959","50","347","",""
"2012","Octubre   ","1377","748","65","564","",""
"2012","Setiembre ","1413","940","120","353","",""
"2012","Agosto    ","1631","1220","82","329","",""
"2012","Julio     ","2456","1910","90","456","",""
"2012","Junio     ","2437","1912","142","383","",""
"2012","Mayo      ","2680","2172","41","467","",""
"2012","Abril     ","1464","1143","50","271","",""
"2012","Marzo     ","2140","1679","77","384","",""
"2012","Febrero   ","911","777","84","50","",""
"2012","Enero     ","1472","1068","66","338","",""
